algorithm,sample_id,task_type,objective,runtime,iterations,solution_size,answer_size,recall,timed_out,solution,source_label,algo_key,run_id,seed,wall_time,n,mode,family,method_tag,K,n_seeds_tried,timeout_limit,display_name
"MS_CTQW(K=20,cheb_d50)",ext_mc_C1000-9,maximum_clique,61,210.2256461,1152,61,0,0,FALSE,"[515, 260, 644, 652, 908, 655, 913, 401, 787, 915, 25, 283, 668, 928, 672, 674, 929, 37, 679, 552, 682, 683, 940, 689, 310, 950, 312, 185, 441, 58, 62, 832, 579, 836, 707, 454, 841, 330, 843, 586, 78, 206, 596, 856, 89, 218, 482, 611, 231, 105, 489, 491, 750, 627, 244, 117, 246, 629, 376, 755, 765]",C1000-9,MS_CTQW_K20_cheb_d50,1,1,211.2155632,1000,external,MS_CTQW,cheb_d50,20,20,,MS_CTQW_cheb_d50
"MS_CTQW(K=5,krylov_m30)",ext_mc_C1000-9,maximum_clique,60,52.91761866,290,60,0,0,FALSE,"[128, 643, 261, 6, 263, 776, 777, 525, 782, 527, 143, 147, 787, 275, 917, 789, 284, 542, 31, 800, 33, 549, 681, 425, 299, 553, 812, 305, 180, 438, 567, 311, 695, 955, 65, 70, 456, 203, 204, 461, 719, 977, 724, 340, 598, 344, 218, 861, 351, 869, 102, 617, 363, 747, 238, 623, 760, 368, 246, 504]",C1000-9,MS_CTQW_K5_krylov_m30,2,2,53.88498399,1000,external,MS_CTQW,krylov_m30,5,5,,MS_CTQW_krylov_m30
"MS_CTQW(K=5,cheb_d50)",ext_mc_C1000-9,maximum_clique,60,53.32525228,290,60,0,0,FALSE,"[513, 1, 131, 516, 4, 262, 391, 771, 517, 655, 16, 18, 787, 788, 789, 278, 148, 283, 539, 158, 161, 292, 298, 812, 45, 47, 435, 311, 441, 62, 190, 192, 577, 578, 581, 72, 329, 458, 78, 212, 853, 217, 218, 986, 734, 990, 481, 99, 612, 998, 230, 747, 749, 880, 368, 627, 628, 885, 629, 892]",C1000-9,MS_CTQW_K5_cheb_d50,2,2,54.27927866,1000,external,MS_CTQW,cheb_d50,5,5,,MS_CTQW_cheb_d50
MS_Random(K=20),ext_mc_C1000-9,maximum_clique,64,205.6470115,1143,64,0,0,FALSE,"[261, 780, 782, 655, 144, 913, 270, 787, 400, 277, 22, 789, 284, 668, 540, 671, 672, 289, 164, 549, 807, 936, 553, 170, 43, 940, 305, 54, 953, 699, 62, 575, 703, 190, 706, 63, 836, 837, 580, 961, 456, 318, 587, 78, 855, 344, 89, 986, 345, 732, 734, 607, 96, 226, 483, 867, 744, 363, 238, 242, 627, 246, 758, 381]",C1000-9,MS_Random_K20,2,2,206.6356249,1000,external,MS_Random,N/A,20,20,,MS_Random
"MS_CTQW(K=10,krylov_m30)",ext_mc_C1000-9,maximum_clique,60,105.1163352,578,60,0,0,FALSE,"[128, 643, 261, 6, 263, 776, 777, 525, 782, 527, 143, 147, 787, 275, 917, 789, 284, 542, 31, 800, 33, 549, 681, 425, 299, 553, 812, 305, 180, 438, 567, 311, 695, 955, 65, 70, 456, 203, 204, 461, 719, 977, 724, 340, 598, 344, 218, 861, 351, 869, 102, 617, 363, 747, 238, 623, 760, 368, 246, 504]",C1000-9,MS_CTQW_K10_krylov_m30,2,2,106.1328999,1000,external,MS_CTQW,krylov_m30,10,10,,MS_CTQW_krylov_m30
ClassicalClique,ext_mc_C250-9,maximum_clique,42,0.186519696,42,42,0,0,FALSE,"[130, 5, 7, 135, 141, 16, 149, 150, 21, 25, 30, 34, 40, 43, 173, 49, 52, 57, 188, 60, 62, 190, 194, 195, 69, 71, 75, 203, 83, 84, 85, 220, 94, 96, 101, 104, 105, 113, 116, 120, 121, 124]",C250-9,ClassicalClique,0,0,1.096750007,250,external,ClassicalClique,N/A,0,,,ClassicalClique
MS_Random(K=5),ext_mc_C250-9,maximum_clique,39,0.592748002,187,39,0,0,FALSE,"[128, 132, 135, 8, 138, 16, 147, 149, 26, 28, 157, 158, 160, 32, 34, 38, 166, 173, 183, 62, 63, 193, 65, 196, 197, 72, 201, 204, 78, 211, 84, 85, 93, 95, 101, 110, 240, 247, 124]",C250-9,MS_Random_K5,0,0,1.547380103,250,external,MS_Random,N/A,5,5,,MS_Random
MS_Degree(K=5),ext_mc_C250-9,maximum_clique,42,0.607182808,198,42,0,0,FALSE,"[130, 5, 7, 135, 141, 16, 149, 150, 21, 25, 30, 34, 40, 43, 173, 49, 52, 57, 188, 60, 62, 190, 194, 195, 69, 71, 75, 203, 83, 84, 85, 220, 94, 96, 101, 104, 105, 113, 116, 120, 121, 124]",C250-9,MS_Degree_K5,0,0,1.454633075,250,external,MS_Degree,N/A,5,5,,MS_Degree
MS_Random(K=10),ext_mc_C250-9,maximum_clique,42,1.126186755,388,42,0,0,FALSE,"[130, 5, 7, 135, 141, 16, 149, 150, 21, 25, 30, 34, 40, 43, 173, 49, 52, 57, 188, 60, 62, 190, 194, 195, 69, 71, 75, 203, 83, 84, 85, 220, 94, 96, 101, 104, 105, 113, 116, 120, 121, 124]",C250-9,MS_Random_K10,0,0,1.983355871,250,external,MS_Random,N/A,10,10,,MS_Random
MS_Degree(K=10),ext_mc_C250-9,maximum_clique,42,1.155073407,397,42,0,0,FALSE,"[130, 5, 7, 135, 141, 16, 149, 150, 21, 25, 30, 34, 40, 43, 173, 49, 52, 57, 188, 60, 62, 190, 194, 195, 69, 71, 75, 203, 83, 84, 85, 220, 94, 96, 101, 104, 105, 113, 116, 120, 121, 124]",C250-9,MS_Degree_K10,0,0,2.021762609,250,external,MS_Degree,N/A,10,10,,MS_Degree
