algorithm,sample_id,task_type,objective,runtime,iterations,solution_size,answer_size,recall,timed_out,solution,source_label,algo_key,run_id,seed,wall_time,n,mode,family,method_tag,T0,cooling_rate,t,lam,alpha,init_method,display_name
SimulatedAnnealing,mc_n500_p005_k30_001,maximum_clique,30.0,0.3309480780008016,2000,30,30,1.0,False,"[64, 3, 323, 389, 198, 74, 396, 269, 462, 471, 280, 87, 345, 27, 414, 31, 41, 105, 171, 299, 172, 108, 305, 499, 437, 121, 251, 316, 62, 255]",mc_n500_p005_k30,SimulatedAnnealing,1,1,2.7171412509997026,500,embedded,SimulatedAnnealing,N/A,1.0,0.995,,,,,SimulatedAnnealing
QuantumGreedy(cheb_d50),mc_n500_p005_k30_000,maximum_clique,30.0,13.305563390997122,29,30,30,1.0,False,"[129, 131, 260, 133, 5, 393, 276, 153, 286, 32, 417, 293, 424, 425, 426, 172, 301, 177, 311, 440, 314, 315, 73, 465, 470, 88, 473, 223, 351, 363]",mc_n500_p005_k30,QuantumGreedy_cheb_d50,1,1,15.600209534997703,500,embedded,QuantumGreedy,cheb_d50,,,1.0,0.5,0.5,max_degree,QuantumGreedy_cheb_d50
QuantumGreedy(krylov_m30),mc_n500_p005_k30_001,maximum_clique,30.0,1.409400693999487,29,30,30,1.0,False,"[3, 389, 396, 269, 280, 27, 414, 31, 41, 299, 172, 171, 305, 437, 316, 62, 64, 323, 198, 74, 462, 471, 87, 345, 105, 108, 499, 121, 251, 255]",mc_n500_p005_k30,QuantumGreedy_krylov_m30,1,1,2.5663442099976237,500,embedded,QuantumGreedy,krylov_m30,,,1.0,0.5,0.5,max_degree,QuantumGreedy_krylov_m30
ClassicalDegree,mc_n500_p005_k30_002,maximum_clique,30.0,0.017712613996991422,30,30,30,1.0,False,"[129, 261, 263, 391, 139, 405, 150, 283, 32, 166, 42, 300, 435, 439, 55, 441, 445, 72, 73, 336, 337, 92, 476, 95, 484, 485, 358, 105, 108, 120]",mc_n500_p005_k30,ClassicalDegree,0,0,1.4884915609945892,500,embedded,ClassicalDegree,N/A,,,,,,,ClassicalDegree
ClassicalClique,mc_n500_p005_k30_002,maximum_clique,30.0,0.34960870199574856,30,30,30,1.0,False,"[129, 261, 263, 391, 139, 405, 150, 283, 32, 166, 42, 300, 435, 439, 55, 441, 445, 72, 73, 336, 337, 92, 476, 95, 484, 485, 358, 105, 108, 120]",mc_n500_p005_k30,ClassicalClique,0,0,3.256024870002875,500,embedded,ClassicalClique,N/A,,,,,,,ClassicalClique
QuantumGreedy(cheb_d50),mc_n500_p005_k30_001,maximum_clique,30.0,14.928642621998733,29,30,30,1.0,False,"[3, 389, 396, 269, 280, 27, 414, 31, 41, 299, 172, 171, 305, 437, 316, 62, 64, 323, 198, 74, 462, 471, 87, 345, 105, 108, 499, 121, 251, 255]",mc_n500_p005_k30,QuantumGreedy_cheb_d50,0,0,16.530178192995663,500,embedded,QuantumGreedy,cheb_d50,,,1.0,0.5,0.5,max_degree,QuantumGreedy_cheb_d50
SimulatedAnnealing,mc_n500_p005_k30_002,maximum_clique,30.0,0.15671260900126072,2000,30,30,1.0,False,"[129, 261, 391, 263, 73, 72, 139, 336, 337, 405, 150, 55, 283, 476, 92, 95, 32, 484, 485, 358, 166, 105, 42, 108, 300, 435, 439, 120, 441, 445]",mc_n500_p005_k30,SimulatedAnnealing,0,0,2.1885540619987296,500,embedded,SimulatedAnnealing,N/A,1.0,0.995,,,,,SimulatedAnnealing
QuantumGreedy(krylov_m30),mc_n500_p005_k30_002,maximum_clique,30.0,0.9937393039945164,29,30,30,1.0,False,"[129, 261, 263, 391, 139, 405, 150, 283, 32, 166, 42, 300, 435, 439, 55, 441, 445, 72, 73, 336, 337, 476, 92, 95, 484, 485, 358, 105, 108, 120]",mc_n500_p005_k30,QuantumGreedy_krylov_m30,0,0,2.2684900859967456,500,embedded,QuantumGreedy,krylov_m30,,,1.0,0.5,0.5,max_degree,QuantumGreedy_krylov_m30
ClassicalDegree,mc_n500_p005_k30_002,maximum_clique,30.0,0.01788104500155896,30,30,30,1.0,False,"[129, 261, 263, 391, 139, 405, 150, 283, 32, 166, 42, 300, 435, 439, 55, 441, 445, 72, 73, 336, 337, 92, 476, 95, 484, 485, 358, 105, 108, 120]",mc_n500_p005_k30,ClassicalDegree,1,1,2.418883342994377,500,embedded,ClassicalDegree,N/A,,,,,,,ClassicalDegree
QuantumGreedy(cheb_d50),mc_n500_p005_k30_001,maximum_clique,30.0,12.133817718997307,29,30,30,1.0,False,"[3, 389, 396, 269, 280, 27, 414, 31, 41, 299, 172, 171, 305, 437, 316, 62, 64, 323, 198, 74, 462, 471, 87, 345, 105, 108, 499, 121, 251, 255]",mc_n500_p005_k30,QuantumGreedy_cheb_d50,1,1,13.652656478996505,500,embedded,QuantumGreedy,cheb_d50,,,1.0,0.5,0.5,max_degree,QuantumGreedy_cheb_d50
