algorithm,sample_id,task_type,objective,runtime,iterations,solution_size,answer_size,recall,timed_out,solution,K,n_seeds_tried,source_label,algo_key,run_id,seed,wall_time,n,mode,family,method_tag,display_name
MS_Random(K=20),mc_n300_p005_k15_001,maximum_clique,15.0,0.08803255699604051,54,15,15,1.0,False,"[288, 0, 192, 262, 295, 9, 169, 42, 43, 80, 178, 279, 184, 189, 94]",20,20.0,mc_n300_p005_k15,MS_Random_K20,0,0,1.326971399001195,300,external,MS_Random,N/A,MS_Random
MS_Degree(K=20),mc_n300_p005_k15_001,maximum_clique,15.0,0.1388731179977185,198,15,15,1.0,False,"[288, 0, 192, 262, 295, 9, 169, 42, 43, 80, 178, 279, 184, 189, 94]",20,20.0,mc_n300_p005_k15,MS_Degree_K20,0,0,1.3855521049990784,300,external,MS_Degree,N/A,MS_Degree
MS_Random(K=30),mc_n300_p005_k15_001,maximum_clique,15.0,0.1204218260027119,85,15,15,1.0,False,"[0, 192, 288, 262, 295, 169, 9, 42, 43, 80, 178, 279, 184, 189, 94]",30,30.0,mc_n300_p005_k15,MS_Random_K30,0,0,1.3258777769951848,300,external,MS_Random,N/A,MS_Random
MS_Degree(K=30),mc_n300_p005_k15_001,maximum_clique,15.0,0.14771341500454582,221,15,15,1.0,False,"[288, 0, 192, 262, 295, 9, 169, 42, 43, 80, 178, 279, 184, 189, 94]",30,30.0,mc_n300_p005_k15,MS_Degree_K30,0,0,1.3209175390002201,300,external,MS_Degree,N/A,MS_Degree
"MS_CTQW(K=5,krylov_m30)",mc_n300_p005_k15_001,maximum_clique,15.0,0.10200877399620367,59,15,15,1.0,False,"[288, 0, 192, 262, 295, 9, 169, 42, 43, 80, 178, 279, 184, 189, 94]",5,5.0,mc_n300_p005_k15,MS_CTQW_K5_krylov_m30,0,0,1.7158415379963117,300,external,MS_CTQW,krylov_m30,MS_CTQW_krylov_m30
"MS_CTQW(K=5,cheb_d50)",mc_n300_p005_k15_001,maximum_clique,15.0,0.443200275003619,59,15,15,1.0,False,"[288, 0, 192, 262, 295, 9, 169, 42, 43, 80, 178, 279, 184, 189, 94]",5,5.0,mc_n300_p005_k15,MS_CTQW_K5_cheb_d50,0,0,1.7319605369993951,300,external,MS_CTQW,cheb_d50,MS_CTQW_cheb_d50
"MS_CTQW(K=10,krylov_m30)",mc_n300_p005_k15_001,maximum_clique,15.0,0.09693827499722829,81,15,15,1.0,False,"[288, 0, 192, 262, 295, 9, 169, 42, 43, 80, 178, 279, 184, 189, 94]",10,10.0,mc_n300_p005_k15,MS_CTQW_K10_krylov_m30,0,0,1.5130824310035678,300,external,MS_CTQW,krylov_m30,MS_CTQW_krylov_m30
"MS_CTQW(K=20,krylov_m30)",mc_n300_p005_k15_001,maximum_clique,15.0,0.2884330409942777,139,15,15,1.0,False,"[288, 0, 192, 262, 295, 9, 169, 42, 43, 80, 178, 279, 184, 189, 94]",20,20.0,mc_n300_p005_k15,MS_CTQW_K20_krylov_m30,0,0,1.782956598995952,300,external,MS_CTQW,krylov_m30,MS_CTQW_krylov_m30
"MS_CTQW(K=10,cheb_d50)",mc_n300_p005_k15_001,maximum_clique,15.0,0.7240891309993458,81,15,15,1.0,False,"[288, 0, 192, 262, 295, 9, 169, 42, 43, 80, 178, 279, 184, 189, 94]",10,10.0,mc_n300_p005_k15,MS_CTQW_K10_cheb_d50,0,0,2.326347510999767,300,external,MS_CTQW,cheb_d50,MS_CTQW_cheb_d50
"MS_CTQW(K=30,krylov_m30)",mc_n300_p005_k15_001,maximum_clique,15.0,0.14132056199741783,186,15,15,1.0,False,"[288, 0, 192, 262, 295, 9, 169, 42, 43, 80, 178, 279, 184, 189, 94]",30,30.0,mc_n300_p005_k15,MS_CTQW_K30_krylov_m30,0,0,1.5069480409947573,300,external,MS_CTQW,krylov_m30,MS_CTQW_krylov_m30
