algorithm,sample_id,task_type,objective,runtime,iterations,solution_size,answer_size,recall,timed_out,solution,source_label,algo_key,run_id,seed,wall_time,n,mode,family,method_tag,K,n_seeds_tried,ctqw_seed_reused,beta,display_name
MS_Random(K=5),mc_mislead_n100_p005_k10_002,maximum_clique,10.0,0.0055772999985492,21,10,10,0.9,False,"[99, 3, 75, 45, 14, 81, 82, 83, 19, 55]",mc_mislead_n100_p005_k10,MS_Random_K5,0,0,3.0318708999984665,100,external,MS_Random,,5,5.0,,,MS_Random
MS_Degree(K=5),mc_mislead_n100_p005_k10_002,maximum_clique,10.0,0.0094406999996863,39,10,10,0.9,False,"[3, 99, 75, 45, 14, 81, 82, 83, 19, 55]",mc_mislead_n100_p005_k10,MS_Degree_K5,0,0,3.0936667999994825,100,external,MS_Degree,,5,5.0,,,MS_Degree
MS_Random(K=10),mc_mislead_n100_p005_k10_002,maximum_clique,10.0,0.0091520999994827,38,10,10,0.9,False,"[99, 3, 75, 45, 14, 81, 82, 83, 19, 55]",mc_mislead_n100_p005_k10,MS_Random_K10,0,0,3.0853567000012845,100,external,MS_Random,,10,10.0,,,MS_Random
MS_Degree(K=10),mc_mislead_n100_p005_k10_002,maximum_clique,10.0,0.0163738000010198,77,10,10,0.9,False,"[3, 99, 75, 45, 14, 81, 82, 83, 19, 55]",mc_mislead_n100_p005_k10,MS_Degree_K10,0,0,3.063886800002365,100,external,MS_Degree,,10,10.0,,,MS_Degree
MS_Random(K=20),mc_mislead_n100_p005_k10_002,maximum_clique,10.0,0.0154241999989608,73,10,10,0.9,False,"[3, 99, 75, 45, 14, 81, 82, 19, 83, 55]",mc_mislead_n100_p005_k10,MS_Random_K20,0,0,3.09701970000242,100,external,MS_Random,,20,20.0,,,MS_Random
MS_Degree(K=20),mc_mislead_n100_p005_k10_002,maximum_clique,10.0,0.0278268000001844,141,10,10,0.9,False,"[3, 99, 75, 45, 14, 81, 82, 83, 19, 55]",mc_mislead_n100_p005_k10,MS_Degree_K20,0,0,3.1427622999981395,100,external,MS_Degree,,20,20.0,,,MS_Degree
"MS_CTQW(K=5,cheb_d50)",mc_mislead_n100_p005_k10_002,maximum_clique,10.0,0.0091333999989728,39,10,10,0.9,False,"[3, 99, 75, 45, 14, 81, 82, 83, 19, 55]",mc_mislead_n100_p005_k10,MS_CTQW_K5_cheb_d50,0,0,3.152994000000035,100,external,MS_CTQW,cheb_d50,5,5.0,True,,MS_CTQW_cheb_d50
"MS_CTQW(K=10,cheb_d50)",mc_mislead_n100_p005_k10_002,maximum_clique,10.0,0.0154750000001513,72,10,10,0.9,False,"[3, 99, 75, 45, 14, 81, 82, 83, 19, 55]",mc_mislead_n100_p005_k10,MS_CTQW_K10_cheb_d50,0,0,3.111247100001492,100,external,MS_CTQW,cheb_d50,10,10.0,True,,MS_CTQW_cheb_d50
"MS_CTQW(K=20,cheb_d50)",mc_mislead_n100_p005_k10_002,maximum_clique,10.0,0.0278453999999328,141,10,10,0.9,False,"[3, 99, 75, 45, 14, 81, 82, 83, 19, 55]",mc_mislead_n100_p005_k10,MS_CTQW_K20_cheb_d50,0,0,3.0848827000008896,100,external,MS_CTQW,cheb_d50,20,20.0,True,,MS_CTQW_cheb_d50
"MS_HybridSeed(K=5,beta=0.25,cheb_d50)",mc_mislead_n100_p005_k10_002,maximum_clique,10.0,0.0090447000002313,39,10,10,0.9,False,"[3, 99, 75, 45, 14, 81, 82, 83, 19, 55]",mc_mislead_n100_p005_k10,MS_HybridSeed_K5_b0p25_cheb_d50,0,0,3.112077699999645,100,external,MS_HybridSeed,cheb_d50,5,5.0,True,0.25,MS_HybridSeed_b0.25_cheb_d50
