source_label,n,K,display_name,runs,mean_objective,max_objective,median_wall_time,p95_wall_time,timeout_rate
mc_mislead_n200_p01_k16,200,20,MS_HybridSeed_b0.5_cheb_d50,5,15.2,16.0,3.5391831999986607,3.561162300001888,0.0
mc_mislead_n200_p01_k16,200,20,MS_HybridSeed_b0.75_cheb_d50,5,15.2,16.0,3.5581010000023525,3.730049040000449,0.0
mc_mislead_n200_p01_k16,200,20,MS_Random,5,16.0,16.0,3.259878700002446,3.466978779999772,0.0
mc_mislead_n300_p005_k20,300,0,ClassicalClique,5,16.2,18.0,3.596796199999517,3.6313908000003723,0.0
mc_mislead_n300_p005_k20,300,5,MS_CTQW_cheb_d50,5,17.2,20.0,3.583261499999935,4.031622839999909,0.0
mc_mislead_n300_p005_k20,300,5,MS_Degree,5,17.0,18.0,3.627375900003244,3.7637660399996093,0.0
mc_mislead_n300_p005_k20,300,5,MS_HybridSeed_b0.25_cheb_d50,5,16.8,18.0,3.634447700002056,4.0195306399982655,0.0
mc_mislead_n300_p005_k20,300,5,MS_HybridSeed_b0.5_cheb_d50,5,16.8,18.0,3.6627546999989136,4.012523579998378,0.0
mc_mislead_n300_p005_k20,300,5,MS_HybridSeed_b0.75_cheb_d50,5,16.8,18.0,3.7115904000020237,4.018863240000792,0.0
mc_mislead_n300_p005_k20,300,5,MS_Random,5,14.6,20.0,3.5607519000004686,3.6369410399995106,0.0
mc_mislead_n300_p005_k20,300,10,MS_CTQW_cheb_d50,5,18.4,20.0,3.775072899999941,3.997571079999034,0.0
mc_mislead_n300_p005_k20,300,10,MS_Degree,5,18.0,20.0,3.7704544000007445,4.013941319998412,0.0
mc_mislead_n300_p005_k20,300,10,MS_HybridSeed_b0.25_cheb_d50,5,18.0,20.0,3.865822499999922,4.165607859999,0.0
mc_mislead_n300_p005_k20,300,10,MS_HybridSeed_b0.5_cheb_d50,5,18.0,20.0,3.7871464999989257,4.084139420002612,0.0
mc_mislead_n300_p005_k20,300,10,MS_HybridSeed_b0.75_cheb_d50,5,18.4,20.0,3.7700928000012937,3.975986299999204,0.0
mc_mislead_n300_p005_k20,300,10,MS_Random,5,17.8,20.0,3.694321700000728,3.72139016000001,0.0
mc_mislead_n300_p005_k20,300,20,MS_CTQW_cheb_d50,5,19.6,20.0,4.0208913999995275,4.484686660002626,0.0
mc_mislead_n300_p005_k20,300,20,MS_Degree,5,18.6,20.0,4.038561100001971,4.505306919997383,0.0
mc_mislead_n300_p005_k20,300,20,MS_HybridSeed_b0.25_cheb_d50,5,18.6,20.0,4.092644899999868,4.206019380000361,0.0
mc_mislead_n300_p005_k20,300,20,MS_HybridSeed_b0.5_cheb_d50,5,18.6,20.0,4.093691199999739,4.194379040002241,0.0
mc_mislead_n300_p005_k20,300,20,MS_HybridSeed_b0.75_cheb_d50,5,19.0,20.0,4.020908200000122,4.155490960000316,0.0
mc_mislead_n300_p005_k20,300,20,MS_Random,5,19.0,20.0,3.7211133999990125,3.978033679998043,0.0
mc_mislead_n300_p01_k20,300,0,ClassicalClique,5,18.6,20.0,3.366813100001309,3.66058864000006,0.0
mc_mislead_n300_p01_k20,300,5,MS_CTQW_cheb_d50,5,18.8,20.0,3.6292523000010988,3.6615413999999875,0.0
mc_mislead_n300_p01_k20,300,5,MS_Degree,5,18.8,20.0,3.5658729000024323,3.665488680001727,0.0
mc_mislead_n300_p01_k20,300,5,MS_HybridSeed_b0.25_cheb_d50,5,18.8,20.0,3.5592926000026637,3.7210148799997116,0.0
mc_mislead_n300_p01_k20,300,5,MS_HybridSeed_b0.5_cheb_d50,5,18.8,20.0,3.579374499997357,3.5831794199992144,0.0
mc_mislead_n300_p01_k20,300,5,MS_HybridSeed_b0.75_cheb_d50,5,18.4,20.0,3.4875384000006306,3.6135696199977247,0.0
mc_mislead_n300_p01_k20,300,5,MS_Random,5,12.0,18.0,3.416123400002107,3.6288317800019287,0.0
mc_mislead_n300_p01_k20,300,10,MS_CTQW_cheb_d50,5,19.0,20.0,3.596210700001393,3.7338680600012593,0.0
mc_mislead_n300_p01_k20,300,10,MS_Degree,5,19.0,20.0,3.7066419000002497,3.861893799999234,0.0
mc_mislead_n300_p01_k20,300,10,MS_HybridSeed_b0.25_cheb_d50,5,19.0,20.0,3.6731384999984584,3.7761369799984097,0.0
mc_mislead_n300_p01_k20,300,10,MS_HybridSeed_b0.5_cheb_d50,5,19.0,20.0,3.645593299999746,3.802509180000925,0.0
mc_mislead_n300_p01_k20,300,10,MS_HybridSeed_b0.75_cheb_d50,5,19.0,20.0,3.690653100002237,3.7662822199985384,0.0
mc_mislead_n300_p01_k20,300,10,MS_Random,5,19.2,20.0,3.597918800001935,3.640012220000062,0.0
mc_mislead_n300_p01_k20,300,20,MS_CTQW_cheb_d50,5,19.2,20.0,3.8944679999985965,4.037785259998782,0.0
mc_mislead_n300_p01_k20,300,20,MS_Degree,5,19.0,20.0,4.06695050000053,4.14358385999949,0.0
mc_mislead_n300_p01_k20,300,20,MS_HybridSeed_b0.25_cheb_d50,5,19.0,20.0,3.940369700001611,4.050844440000219,0.0
mc_mislead_n300_p01_k20,300,20,MS_HybridSeed_b0.5_cheb_d50,5,19.0,20.0,3.8773318999992625,4.041827239999838,0.0
mc_mislead_n300_p01_k20,300,20,MS_HybridSeed_b0.75_cheb_d50,5,19.0,20.0,3.9114645999979984,3.9892316799989205,0.0
mc_mislead_n300_p01_k20,300,20,MS_Random,5,19.6,20.0,3.707022099999449,3.756559779998497,0.0
